id,SrcField,SrcFile
SA_PT019,AAC,IDM00013.shp
SA_PT041,AAC,IDM00013.shp
SA_PT067,AAC,IDM00013.shp
SA_PT059,AAC,IDM00013.shp
SA_PT060,AAC,IDM00013.shp
SA_PT061,AAC,IDM00013.shp
SA_PT066,AAC,IDM00013.shp
SA_PT070,AAC,IDM00013.shp
SA_PT014,AAC,IDM00013.shp
SA_PT016,AAC,IDM00013.shp
SA_PT023,AAC,IDM00013.shp
SA_PT025,AAC,IDM00013.shp
SA_PT051,AAC,IDM00013.shp
SA_PT079,AAC,IDM00013.shp
SA_PT081,AAC,IDM00013.shp
SA_PT082,AAC,IDM00013.shp
SA_PT010,AAC,IDM00013.shp
SA_PT030,AAC,IDM00013.shp
SA_PT034,AAC,IDM00013.shp
SA_PT046,AAC,IDM00013.shp
SA_PT080,AAC,IDM00013.shp
SA_PT022,AAC,IDM00013.shp
SA_PT017,AAC,IDM00013.shp
SA_PT074,AAC,IDM00013.shp
SA_PT021,AAC,IDM00013.shp
SA_PT024,AAC,IDM00013.shp
SA_PT058,AAC,IDM00013.shp
SA_PT012,AAC,IDM00013.shp
SA_PT009,AAC,IDM00013.shp
SA_PT048,AAC,IDM00013.shp
SA_PT053,AAC,IDM00013.shp
SA_PT056,AAC,IDM00013.shp
SA_PT087,AAC,IDM00013.shp
SA_PT004,AAC,IDM00013.shp
SA_PT006,AAC,IDM00013.shp
SA_PT043,AAC,IDM00013.shp
SA_PT047,AAC,IDM00013.shp
SA_PT050,AAC,IDM00013.shp
SA_PT002,AAC,IDM00013.shp
SA_PT045,AAC,IDM00013.shp
SA_PT033,AAC,IDM00013.shp
SA_PT068,AAC,IDM00013.shp
SA_PT062,AAC,IDM00013.shp
SA_PT064,AAC,IDM00013.shp
SA_PT005,AAC,IDM00013.shp
SA_PT036,AAC,IDM00013.shp
SA_PT057,AAC,IDM00013.shp
SA_PT063,AAC,IDM00013.shp
SA_PT049,AAC,IDM00013.shp
SA_PT007,AAC,IDM00013.shp
SA_PT055,AAC,IDM00013.shp
SA_PT069,AAC,IDM00013.shp
SA_PT040,AAC,IDM00013.shp
SA_PT073,AAC,IDM00013.shp
SA_PT008,AAC,IDM00013.shp
SA_PT011,AAC,IDM00013.shp
SA_PT042,AAC,IDM00013.shp
SA_PT031,AAC,IDM00013.shp
SA_PT032,AAC,IDM00013.shp
SA_PT039,AAC,IDM00013.shp
SA_PT075,AAC,IDM00013.shp
SA_PT076,AAC,IDM00013.shp
SA_PT077,AAC,IDM00013.shp
SA_PT078,AAC,IDM00013.shp
SA_PT083,AAC,IDM00013.shp
SA_PT084,AAC,IDM00013.shp
SA_PT085,AAC,IDM00013.shp
SA_PT003,AAC,IDM00013.shp
SA_PT015,AAC,IDM00013.shp
SA_PT102,AAC,IDM00013.shp
SA_PT013,AAC,IDM00013.shp
SA_PT028,AAC,IDM00013.shp
SA_PT035,AAC,IDM00013.shp
SA_PT037,AAC,IDM00013.shp
SA_PT052,AAC,IDM00013.shp
SA_PT054,AAC,IDM00013.shp
SA_PT139,AAC,IDM00013.shp
SA_PT071,AAC,IDM00013.shp
SA_PT086,AAC,IDM00013.shp
SA_PT018,AAC,IDM00013.shp
SA_PT026,AAC,IDM00013.shp
SA_PT112,AAC,IDM00013.shp
SA_PT113,AAC,IDM00013.shp
SA_PT114,AAC,IDM00013.shp
SA_PT115,AAC,IDM00013.shp
SA_PT116,AAC,IDM00013.shp
SA_PT117,AAC,IDM00013.shp
SA_PT118,AAC,IDM00013.shp
SA_PT119,AAC,IDM00013.shp
SA_PT120,AAC,IDM00013.shp
SA_PT122,AAC,IDM00013.shp
SA_PT123,AAC,IDM00013.shp
SA_PT124,AAC,IDM00013.shp
SA_PT126,AAC,IDM00013.shp
SA_PT127,AAC,IDM00013.shp
SA_PT128,AAC,IDM00013.shp
SA_PT129,AAC,IDM00013.shp
SA_PT130,AAC,IDM00013.shp
SA_PT131,AAC,IDM00013.shp
SA_PT132,AAC,IDM00013.shp
SA_PT133,AAC,IDM00013.shp
SA_PT020,AAC,IDM00013.shp
SA_PT121,AAC,IDM00013.shp
SA_PT134,AAC,IDM00013.shp
SA_PT135,AAC,IDM00013.shp
SA_PT136,AAC,IDM00013.shp
SA_PT027,AAC,IDM00013.shp
SA_PT038,AAC,IDM00013.shp
SA_PT044,AAC,IDM00013.shp
SA_PT072,AAC,IDM00013.shp
SA_PT137,AAC,IDM00013.shp
SA_PT138,AAC,IDM00013.shp
SA_PT140,AAC,IDM00013.shp
TAS_PT142,AAC,IDM00013.shp
TAS_PT143,AAC,IDM00013.shp
TAS_PT144,AAC,IDM00013.shp
TAS_PT145,AAC,IDM00013.shp
TAS_PT146,AAC,IDM00013.shp
VIC_PT001,AAC,IDM00013.shp
VIC_PT002,AAC,IDM00013.shp
VIC_PT003,AAC,IDM00013.shp
VIC_PT004,AAC,IDM00013.shp
VIC_PT005,AAC,IDM00013.shp
VIC_PT006,AAC,IDM00013.shp
VIC_PT007,AAC,IDM00013.shp
VIC_PT008,AAC,IDM00013.shp
VIC_PT009,AAC,IDM00013.shp
VIC_PT010,AAC,IDM00013.shp
VIC_PT012,AAC,IDM00013.shp
VIC_PT013,AAC,IDM00013.shp
VIC_PT014,AAC,IDM00013.shp
VIC_PT015,AAC,IDM00013.shp
VIC_PT016,AAC,IDM00013.shp
VIC_PT017,AAC,IDM00013.shp
VIC_PT018,AAC,IDM00013.shp
VIC_PT019,AAC,IDM00013.shp
VIC_PT020,AAC,IDM00013.shp
VIC_PT021,AAC,IDM00013.shp
VIC_PT022,AAC,IDM00013.shp
VIC_PT023,AAC,IDM00013.shp
VIC_PT024,AAC,IDM00013.shp
VIC_PT025,AAC,IDM00013.shp
VIC_PT026,AAC,IDM00013.shp
VIC_PT027,AAC,IDM00013.shp
VIC_PT028,AAC,IDM00013.shp
VIC_PT029,AAC,IDM00013.shp
VIC_PT030,AAC,IDM00013.shp
VIC_PT031,AAC,IDM00013.shp
VIC_PT032,AAC,IDM00013.shp
VIC_PT033,AAC,IDM00013.shp
VIC_PT034,AAC,IDM00013.shp
VIC_PT035,AAC,IDM00013.shp
VIC_PT036,AAC,IDM00013.shp
VIC_PT037,AAC,IDM00013.shp
VIC_PT038,AAC,IDM00013.shp
VIC_PT040,AAC,IDM00013.shp
VIC_PT041,AAC,IDM00013.shp
VIC_PT042,AAC,IDM00013.shp
VIC_PT043,AAC,IDM00013.shp
